user_id,course_id,rating,enrolled,user_idx,course_idx
1,1,4.02,1,0,0
1,3,2.76,1,0,2
1,4,3.2,1,0,3
1,7,2.72,1,0,6
1,12,3.95,1,0,11
1,18,2.75,1,0,17
1,21,1.62,1,0,20
1,24,2.57,1,0,23
1,29,3.33,1,0,28
2,1,2.97,1,1,0
2,3,3.4,1,1,2
2,6,2.98,1,1,5
2,8,3.23,1,1,7
2,9,2.87,1,1,8
2,16,2.08,1,1,15
2,17,2.64,1,1,16
2,23,3.04,1,1,22
2,24,3.06,1,1,23
2,25,3.25,1,1,24
2,26,3.71,1,1,25
2,30,2.15,1,1,29
3,2,2.27,1,2,1
3,3,1.8,1,2,2
3,4,3.21,1,2,3
3,7,2.61,1,2,6
3,8,2.93,1,2,7
3,12,2.74,1,2,11
3,14,3.29,1,2,13
3,17,3.64,1,2,16
3,26,3.69,1,2,25
3,29,3.89,1,2,28
4,8,3.16,1,3,7
4,14,3.35,1,3,13
4,17,3.69,1,3,16
4,18,3.0,1,3,17
4,22,3.34,1,3,21
4,28,2.4,1,3,27
4,29,2.41,1,3,28
4,30,2.41,1,3,29
5,1,2.83,1,4,0
5,4,2.83,1,4,3
5,6,2.26,1,4,5
5,7,2.17,1,4,6
5,9,2.04,1,4,8
5,10,2.99,1,4,9
5,11,3.32,1,4,10
5,12,3.58,1,4,11
5,16,2.67,1,4,15
5,18,2.82,1,4,17
5,26,3.19,1,4,25
6,1,3.12,1,5,0
6,2,3.42,1,5,1
6,3,2.5,1,5,2
6,8,2.82,1,5,7
6,9,2.16,1,5,8
6,11,3.04,1,5,10
6,17,3.41,1,5,16
6,18,2.96,1,5,17
6,19,3.27,1,5,18
6,21,3.4,1,5,20
6,22,1.74,1,5,21
6,24,2.7,1,5,23
6,27,1.69,1,5,26
7,1,3.63,1,6,0
7,4,3.09,1,6,3
7,5,4.79,1,6,4
7,7,4.48,1,6,6
7,8,3.6,1,6,7
7,9,3.41,1,6,8
7,11,3.1,1,6,10
7,15,3.21,1,6,14
7,19,3.74,1,6,18
7,26,2.64,1,6,25
7,29,3.71,1,6,28
8,1,2.94,1,7,0
8,3,2.42,1,7,2
8,4,3.04,1,7,3
8,5,2.62,1,7,4
8,6,2.88,1,7,5
8,8,3.31,1,7,7
8,14,4.26,1,7,13
8,15,3.14,1,7,14
8,19,2.83,1,7,18
8,22,3.44,1,7,21
8,27,2.86,1,7,26
8,30,3.26,1,7,29
9,2,2.36,1,8,1
9,6,2.15,1,8,5
9,7,2.66,1,8,6
9,8,2.88,1,8,7
9,14,2.92,1,8,13
9,15,3.73,1,8,14
9,17,1.39,1,8,16
9,21,2.39,1,8,20
9,23,2.81,1,8,22
9,24,1.56,1,8,23
9,27,3.33,1,8,26
10,4,2.08,1,9,3
10,7,2.09,1,9,6
10,8,1.92,1,9,7
10,10,2.47,1,9,9
10,18,3.15,1,9,17
10,25,2.87,1,9,24
10,27,2.97,1,9,26
11,1,3.39,1,10,0
11,3,3.44,1,10,2
11,4,2.62,1,10,3
11,6,2.69,1,10,5
11,8,3.27,1,10,7
11,10,3.6,1,10,9
11,11,3.79,1,10,10
11,14,1.71,1,10,13
11,18,3.29,1,10,17
11,26,3.27,1,10,25
11,28,1.05,1,10,27
12,2,2.25,1,11,1
12,3,2.78,1,11,2
12,5,2.03,1,11,4
12,7,2.43,1,11,6
12,11,2.34,1,11,10
12,16,1.9,1,11,15
12,19,3.98,1,11,18
12,23,2.78,1,11,22
12,27,2.56,1,11,26
12,28,2.95,1,11,27
13,3,2.33,1,12,2
13,7,2.47,1,12,6
13,10,2.76,1,12,9
13,11,2.34,1,12,10
13,13,4.83,1,12,12
13,15,3.25,1,12,14
13,20,2.77,1,12,19
13,24,3.44,1,12,23
13,25,3.33,1,12,24
13,29,3.04,1,12,28
13,30,2.83,1,12,29
14,1,4.9,1,13,0
14,2,2.78,1,13,1
14,4,3.34,1,13,3
14,5,3.26,1,13,4
14,6,2.44,1,13,5
14,7,3.6,1,13,6
14,12,3.15,1,13,11
14,13,5.0,1,13,12
14,14,3.94,1,13,13
14,18,3.54,1,13,17
14,19,4.34,1,13,18
14,21,2.18,1,13,20
14,22,2.82,1,13,21
14,27,2.9,1,13,26
14,29,2.1,1,13,28
15,3,2.68,1,14,2
15,4,3.78,1,14,3
15,6,2.68,1,14,5
15,12,3.64,1,14,11
15,13,2.84,1,14,12
15,20,2.93,1,14,19
15,24,2.07,1,14,23
15,30,2.7,1,14,29
16,3,3.75,1,15,2
16,4,3.4,1,15,3
16,9,2.8,1,15,8
16,11,3.02,1,15,10
16,15,3.87,1,15,14
16,18,3.64,1,15,17
16,29,2.51,1,15,28
17,6,4.36,1,16,5
